0   1.0     1   0.028     2   0.028     3   0.056     4   0.072     
0   1.0     1   0.028     2   0.028     3   0.056     4   0.072     
0   1.0     1   0.028     2   0.028     3   0.056     4   0.072     
0   1.0     1   0.028     2   0.028     3   0.056     4   0.072     
0   1.0     1   0.028     2   0.028     3   0.056     4   0.072     
0   1.0     1   0.028     2   0.028     3   0.056     4   0.072     
0   0.676     1   0.352     2   0.152     3   0.124     4   0.396     
0   0.14     1   0.888     2   0.128     3   0.172     4   0.1     
0   0.028     1   1.0     2   0.016     3   0.06     4   -0.012     
0   0.028     1   1.0     2   0.016     3   0.06     4   -0.012     
0   0.028     1   1.0     2   0.016     3   0.06     4   -0.012     
0   0.028     1   1.0     2   0.016     3   0.06     4   -0.012     
0   0.028     1   1.0     2   0.016     3   0.06     4   -0.012     
0   0.316     1   0.504     2   0.512     3   0.236     4   0.244     
0   0.172     1   0.16     2   0.856     3   0.124     4   0.156     
0   0.028     1   0.016     2   1.0     3   -0.02     4   0.012     
0   0.028     1   0.016     2   1.0     3   -0.02     4   0.012     
0   0.028     1   0.016     2   1.0     3   -0.02     4   0.012     
0   0.028     1   0.016     2   1.0     3   -0.02     4   0.012     
0   0.028     1   0.016     2   1.0     3   -0.02     4   0.012     
0   0.2     1   0.388     2   0.628     3   0.352     4   0.128     
0   0.148     1   0.152     2   0.072     3   0.908     4   0.108     
0   0.056     1   0.06     2   -0.02     3   1.0     4   0.016     
0   0.056     1   0.06     2   -0.02     3   1.0     4   0.016     
0   0.056     1   0.06     2   -0.02     3   1.0     4   0.016     
0   0.056     1   0.06     2   -0.02     3   1.0     4   0.016     
0   0.148     1   0.152     2   0.072     3   0.908     4   0.108     
0   0.296     1   0.236     2   0.244     3   0.504     4   0.512     
0   0.18     1   0.096     2   0.12     3   0.124     4   0.892     
0   0.072     1   -0.012     2   0.012     3   0.016     4   1.0     
0   0.072     1   -0.012     2   0.012     3   0.016     4   1.0     
0   0.072     1   -0.012     2   0.012     3   0.016     4   1.0     
0   0.072     1   -0.012     2   0.012     3   0.016     4   1.0     
0   0.18     1   0.096     2   0.12     3   0.124     4   0.892     
